Country,Year,GDP_per_capita,Crime_rate,Participation_rate
DEU,2003,30711.1022511331,1.33598638063576,57.846
DEU,2004,34566.7359143735,1.3545661001062,57.458
DEU,2005,35084.4363546269,1.27244558514126,58.332
DEU,2006,36980.3349948954,1.20927315205162,58.997
DEU,2007,42350.9217211489,1.09227050411144,59.065
DEU,2008,46379.1647953479,1.02452477446076,59.087
DEU,2009,42471.8868625226,0.992150728625981,59.211
ZAF,2007,6591.85535960564,36.4150322955323,59.802
ZAF,2008,6184.75474328399,35.379325145242,59.688
ZAF,2009,6374.70560042992,32.4134564386112,58.059
ZAF,2010,7973.47195771517,30.3625716702744,54.171
ZAF,2011,8646.05571071635,29.3498251398405,56.169
ZAF,2012,8076.97678479741,30.1454561488805,55.959
ZAF,2013,7331.65467384919,31.132729039924,56.219
BRA,2011,13396.6263158041,26.7470983503833,64.87
BRA,2012,12521.7238454434,28.6413621085766,64.409
BRA,2013,12458.8903396625,28.6404106359245,64.314
BRA,2014,12274.9941630213,29.8537931807395,64.04
BRA,2015,8936.1955889444,28.8503019791216,64.275
BRA,2016,8836.28546025694,30.1193623667804,64.29
BRA,2017,10080.5078722821,31.1611756216413,64.525
RUS,2015,9277.7138671875,11.4556968970425,62.75
RUS,2016,8663.158203125,10.8822499466091,62.912
RUS,2017,10658.9130859375,9.09316032017364,62.523
RUS,2018,11211.8876953125,8.17044875503453,62.484
RUS,2019,11447.701171875,7.64469087376708,61.73
RUS,2020,10108.3271484375,7.30812673633554,61.422
RUS,2021,12425.029296875,6.76512531955806,62.005
QAT,2019,66841.3623185691,0.393149056031246,87.433
QAT,2020,51683.5681078949,0.428055468854506,87.105
QAT,2021,71751.9363398856,0.319717852547547,86.363
QAT,2022,88701.4689763536,0.0691454145354033,87.575
QAT,2023,81816.9797967481,0.1,87.55
QAT,2024,76688.6941743178,0.15,87.468
